,0,AAPL,SPY
2017-11-20,0.023700000000000002,-0.0009991184249192875,0.0015899484236241435
2017-11-21,0.0236,0.018590422402635642,0.006388415672913261
2017-11-22,0.0232,0.010511724615917872,-0.000538606547916709
2017-11-24,0.023399999999999997,5.71559213533579e-05,0.0022325724623732945
2017-11-27,0.0232,-0.005029433617191548,-0.0005376963551867453
2017-11-28,0.023399999999999997,-0.005859038428399188,0.009991161664681059
2017-11-29,0.023700000000000002,-0.02074305194430004,-0.0003804740706919718
2017-11-30,0.0242,0.01398395090866189,0.008145244167015564
2017-12-01,0.023700000000000002,-0.004655222577829354,-0.0015479291728018874
2017-12-04,0.023700000000000002,-0.007307804735457446,-0.0013234515616726839
2017-12-05,0.0236,-0.0009422850412250661,-0.0034455340577790317
2017-12-06,0.0233,-0.0037137467578400862,0.0001139817629181028
2017-12-07,0.023700000000000002,0.002615229868055291,0.0030771568590206577
2017-12-08,0.023799999999999998,-0.0004839128484762645,0.005453719133464707
2017-12-11,0.0239,0.0194839700064946,0.0032394153985233487
2017-12-12,0.024,-0.0056176521688769965,0.0017271157167531026
2017-12-13,0.0236,0.00331974373907995,-0.0002248875562218533
2017-12-14,0.0235,-0.00029024206187966417,-0.003936417485191579
2017-12-15,0.0235,0.009580768784113403,0.003161579284127969
2017-12-18,0.0239,0.014666129867141997,0.006378268862792247
2017-12-19,0.0246,-0.010656388164607122,-0.0036535808820788995
2017-12-20,0.024900000000000002,-0.0010885756846568118,-0.0005612722170251772
2017-12-21,0.0248,0.003785488958990557,0.0016473230999625166
2017-12-22,0.0248,0.0,-0.00018688794199006598
2017-12-26,0.024700000000000003,-0.025369978858350906,-0.001271075554226453
2017-12-27,0.0242,0.00017588087002406994,0.0007486430844096947
2017-12-28,0.024300000000000002,0.0028135990621338536,0.0019076117449037255
2017-12-29,0.024,-0.010813654430675834,-0.0034346300306130617
2018-01-02,0.0246,0.0179046268392129,0.006855473140031432
2018-01-03,0.024399999999999998,-0.00017415534656917142,0.006325110689437308
2018-01-04,0.0246,0.004644951518318674,0.004066994491070952
2018-01-05,0.024700000000000003,0.011385308905970115,0.0067385941009683314
2018-01-08,0.024900000000000002,-0.003714285714285781,0.0018653986832481984
2018-01-09,0.0255,-0.00011471178663602366,0.0022635172136831194
2018-01-10,0.0255,-0.00022944989387951864,-0.0016391651185662104
2018-01-11,0.0254,0.005680188192093594,0.00733362521891423
2018-01-12,0.0255,0.010326335006846099,0.006700713535441327
2018-01-16,0.0254,-0.005082161612739333,-0.003166150967834791
2018-01-17,0.025699999999999997,0.0165162608547591,0.00920378257417176
2018-01-18,0.0262,0.0008933556672250376,-0.001537856299846263
2018-01-19,0.0264,-0.004462791476068206,0.004334121355397791
2018-01-22,0.026600000000000002,-0.008181105009525957,0.008131531081707832
2018-01-23,0.0263,0.00022598870056489417,0.0020164856546502907
2018-01-24,0.0265,-0.015928603705377298,-0.0004236689733089216
2018-01-25,0.0263,-0.017850992997359594,0.0006357728171799693
2018-01-26,0.026600000000000002,0.0023376775173864495,0.011507236145428923
2018-01-29,0.027000000000000003,-0.020698501545099335,-0.006700167504187671
2018-01-30,0.0273,-0.005894260538223395,-0.010574761101742491
2018-01-31,0.027200000000000002,0.0027549859256155163,0.0009942122643185058
2018-02-01,0.0278,0.0020904258496088346,-0.0008158632187578174
2018-02-02,0.028399999999999998,-0.04416497794731189,-0.021904288554387974
2018-02-05,0.0277,-0.02419405125646934,-0.0413778084280062
2018-02-06,0.0279,0.04179180778324487,0.018742190753852528
2018-02-07,0.028399999999999998,-0.021407102987180293,-0.0051661339478182855
2018-02-08,0.0285,-0.0275166102544816,-0.03698584077408762
2018-02-09,0.028300000000000002,0.0081211730583306,0.01540132676416972
2018-02-12,0.0286,0.04027875455533536,0.01367769542293873
2018-02-13,0.028300000000000002,0.010017823120889835,0.002751394542439334
2018-02-14,0.0291,0.018437385907265513,0.013606464950197239
2018-02-15,0.028999999999999998,0.03357829957579028,0.012088849334371599
2018-02-16,0.0287,-0.00323718133996187,0.0008427069211887073
2018-02-20,0.0288,-0.003363683813721541,-0.0062966759408406014
2018-02-21,0.0294,-0.004538842013383726,-0.005415561450044071
2018-02-22,0.0292,0.00894370725434035,0.0010741934288993615
2018-02-23,0.0288,0.017120509849362753,0.016243617257455822
2018-02-26,0.0286,0.01945259320440873,0.01186965228472614
2018-02-27,0.028999999999999998,-0.0032407666089289133,-0.012701953869957983
2018-02-28,0.0287,-0.0015135377543583628,-0.01082440411108676
2018-03-01,0.0281,-0.017516281158769353,-0.013595667071957585
2018-03-02,0.0286,0.006914285714285651,0.005154639175257714
2018-03-05,0.0288,0.003461778559673112,0.011222593831289318
2018-03-06,0.0288,-0.0008483203257549921,0.0026091430251358183
2018-03-07,0.028900000000000002,-0.009282843719929712,0.0
2018-03-08,0.0286,0.010912415014568966,0.004398343290693774
2018-03-09,0.028999999999999998,0.017180965298971396,0.017260883844834485
2018-03-12,0.0287,0.009667740860095586,-0.0007892093557180235
2018-03-13,0.028399999999999998,-0.009630200308166414,-0.00653407051051913
2018-03-14,0.0281,-0.008501416902817138,-0.005312228967909949
2018-03-15,0.0282,0.0011768661735036545,-0.000799273387829369
2018-03-16,0.0285,-0.0035264483627204246,-0.0029451332581897915
2018-03-19,0.0285,-0.015279182114369183,-0.013164612355043404
2018-03-20,0.028900000000000002,-0.0003422703936110105,0.0011825135804293119
2018-03-21,0.028900000000000002,-0.022654645058205913,-0.0019562248551286965
2018-03-22,0.028300000000000002,-0.014158930343901477,-0.02474112426035502
